text,true,pred,length
there 's a wickedly subversive bent to the best parts of birthday girl .,3,4,13
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .",1,2,16
"makes for some truly odd , at times confusing , kids entertainment ... but at least this time there 's some centered storytelling to go along with all the weird stuff .",2,1,29
"apart from dazzling cinematography , we 've seen just about everything in blue crush in one form or the other .",2,4,19
"this film seems thirsty for reflection , itself taking on adolescent qualities .",1,3,11
this disturbing bio-pic is hard to forget .,2,1,7
"from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie .",1,3,17
`` the time machine '' is a movie that has no interest in itself .,0,2,14
"unfortunately , it appears that -lrb- jackie -rrb- chan 's us influence is starting to show in his hong kong films .",2,1,20
"something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously .",3,1,20
"ultimately feels empty and unsatisfying , like swallowing a communion wafer without the wine .",0,1,13
the moviegoing equivalent of going to a dinner party and being forced to watch the host and hostess 's home video of their baby 's birth .,0,3,26
a coarse and stupid gross-out .,1,0,5
cool ?,3,2,2
the film tunes into a grief that could lead a man across centuries .,3,4,13
a string of rehashed sight gags based in insipid vulgarity .,1,2,10
it appears that something has been lost in the translation to the screen .,1,0,13
"as ` chick flicks ' go , this one is pretty miserable , resorting to string-pulling rather than legitimate character development and intelligent plotting .",0,2,20
uses high comedy to evoke surprising poignance .,4,2,7
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",0,2,22
like being trapped at a perpetual frat party ... how can something so gross be so boring ?,0,1,18
"by the miserable standards to which the slasher genre has sunk , ... actually pretty good .",2,3,15
"seldahl 's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",3,4,24
filmmakers who can deftly change moods are treasures and even marvels .,4,3,11
"it 's a scattershot affair , but when it hits its mark it 's brilliant .",3,2,14
"it kinda works and qualifies as cool at times , but is just too lame to work or be cool at others .",2,3,21
"open-minded kids -- kids who read , kids who dream -- will be comforted by the way it deals with big issues like death and destiny .",2,3,25
better to just call it abc kiarostami .,2,1,7
"just as moving , uplifting and funny as ever .",3,4,8
this movie is maddening .,1,0,4
not since freddy got fingered has a major release been so painful to sit through .,0,1,15
"not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",4,3,32
more concerned with sade 's ideas than with his actions .,2,1,10
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .,3,4,19
"an occasionally funny , but overall limp , fish-out-of-water story .",1,2,8
but it could have been worse .,1,3,6
a wildly inconsistent emotional experience .,1,4,5
"it 's as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker .",0,1,37
"we root for -lrb- clara and paul -rrb- , even like them , though perhaps it 's an emotion closer to pity .",3,2,20
if you dig on david mamet 's mind tricks ... rent this movie and enjoy !,4,3,16
"you wo n't like roger , but you will quickly recognize him .",1,2,11
"half submarine flick , half ghost story , all in one criminally neglected film",2,1,12
my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it 's virtually its own hollywood remake .,4,0,26
"an overemphatic , would-be wacky , ultimately tedious sex farce .",1,0,8
the kind of spectacularly misconceived enterprise that only a sophisticated cinephile could have perpetrated .,2,4,14
"feels haphazard , as if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot .",0,1,30
an unwise amalgam of broadcast news and vibes .,1,2,8
a bloated gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...,0,2,14
"not the kind of film that will appeal to a mainstream american audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",4,3,32
"a full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution .",3,1,20
fancy a real downer ?,1,2,5
a painfully funny ode to bad behavior .,3,1,7
"featuring a dangerously seductive performance from the great daniel auteuil , `` sade '' covers the same period as kaufmann 's `` quills '' with more unsettlingly realistic results .",4,3,28
has all the depth of a wading pool .,0,1,8
a deep and meaningful film .,4,3,5
"sit through this one , and you wo n't need a magic watch to stop time ; your dvd player will do it for you .",1,0,23
holden caulfield did it better .,1,2,5
"... brian de palma is utterly mad : cinema mad , set-piece mad , style mad .",2,1,13
nothing more substantial than a fitfully clever doodle .,2,1,8
while much of the cast has charm -- especially allodi and nolden -- the performers are sunk by the film 's primitive approach to the mechanics of comedy .,2,3,28
there is no pleasure in watching a child suffer .,0,3,9
"-lrb- t -rrb- here 's only so much anyone can do with a florid , overplotted , anne rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .",0,1,32
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .",1,2,29
"the inspirational screenplay by mike rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",3,2,22
affleck and jackson are good sparring partners .,3,4,7
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about .,1,2,20
my big fat greek wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor .,4,3,19
"whaley 's determination to immerse you in sheer , unrelenting wretchedness is exhausting .",0,3,12
moretti 's compelling anatomy of grief and the difficult process of adapting to loss .,1,3,14
"an artful , intelligent film that stays within the confines of a well-established genre .",4,3,13
makes for a pretty unpleasant viewing experience .,0,2,7
"pretension , in its own way , is a form of bravery .",2,3,10
travels a fascinating arc from hope and euphoria to reality and disillusionment .,3,4,12
like the chelsea 's denizens ... burdette 's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste .,2,1,20
"altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece .",4,3,21
the story and structure are well-honed .,3,1,6
"it will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .",2,3,24
has a lot of the virtues of eastwood at his best .,3,2,11
do n't be fooled by the impressive cast list - eye see you is pure junk .,0,4,15
"due to some script weaknesses and the casting of the director 's brother , the film trails off into inconsequentiality .",1,3,19
richard gere and diane lane put in fine performances as does french actor oliver martinez .,3,4,15
this movie is a snow emergency .,2,0,6
griffiths proves she 's that rare luminary who continually raises the standard of her profession .,4,3,15
"christina ricci comedy about sympathy , hypocrisy and love is a misfire .",2,4,11
"an entertaining , colorful , action-filled crime story with an intimate heart .",3,4,10
"while the script starts promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target .",2,1,19
it 's a scathing portrayal .,2,3,5
the movie achieves as great an impact by keeping these thoughts hidden as ... -lrb- quills -rrb- did by showing them .,3,1,21
the film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .,4,3,26
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .",0,4,26
historical dramas fused with love triangle is a well worn conceit .,2,4,11
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .,4,3,23
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer",3,1,25
if your taste runs to ` difficult ' films you absolutely ca n't miss it .,3,2,13
the film 's tone and pacing are off almost from the get-go .,1,2,12
two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .,4,2,28
hit and miss as far as the comedy goes and a big ole ' miss in the way of story .,1,3,19
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script .",3,2,15
"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ?",1,2,26
the best film about baseball to hit theaters since field of dreams .,4,3,12
"there are simply too many ideas floating around -- part farce , part sliding doors , part pop video -- and yet failing to exploit them .",1,4,24
overall very good for what it 's trying to do .,3,1,10
sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .,1,2,13
"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff .",1,2,27
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .",3,0,14
sam mendes has become valedictorian at the school for soft landings and easy ways out .,1,3,15
"entertains by providing good , lively company .",3,4,6
"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake .",1,0,21
"there is n't nearly enough fun here , despite the presence of some appealing ingredients .",1,3,14
"even film silliness needs a little gravity , beyond good hair and humping .",2,0,12
there are plot holes big enough for shamu the killer whale to swim through .,0,2,14
"it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that .",0,1,23
"a smart , witty follow-up .",4,3,4
it 's not the ultimate depression-era gangster movie .,1,2,8
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .",1,4,24
"without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers .",1,0,18
the film tries too hard to be funny and tries too hard to be hip .,1,0,15
"it just may inspire a few younger moviegoers to read stevenson 's book , which is a treasure in and of itself .",3,1,21
turns potentially forgettable formula into something strangely diverting .,3,2,8
"it 's also , clearly , great fun .",4,3,6
"oscar wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century .",3,4,18
it 's like watching a nightmare made flesh .,0,1,8
"forced , familiar and thoroughly condescending .",1,3,5
"it 's hard to like a film about a guy who is utterly unlikeable , and shiner , starring michael caine as an aging british boxing promoter desperate for a taste of fame and fortune , is certainly that .",1,0,36
"belongs to daniel day-lewis as much as it belongs to martin scorsese ; it 's a memorable performance in a big , brassy , disturbing , unusual and highly successful film .",4,3,27
"if the first men in black was money , the second is small change .",0,2,13
writer\/director mark romanek spotlights the underlying caste system in america .,2,4,10
viewers of `` the ring '' are more likely to remember the haunting images than the plot holes .,2,1,18
"it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .",1,0,22
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way .",1,3,33
"looking aristocratic , luminous yet careworn in jane hamilton 's exemplary costumes , rampling gives a performance that could not be improved upon . '",4,2,21
"thekids will probably stay amused at the kaleidoscope of big , colorful characters .",3,4,12
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool .",1,2,16
dilbert without the right-on satiric humor .,2,3,6
"skins has a right to yawp , and we have a right to our grains of salt .",2,3,16
has a long and clunky ending ... which forces the audience to fidget through ten pseudo-serious minutes while waiting for the ending credits and the deleted scenes montage to break the audience 's awkward silence,2,0,35
"the techno tux is good for a few laughs , as are chan and hewitt , but when such a good design turns out to be a cheap knockoff , we ca n't recommend anything but a rental for the tuxedo .",2,1,38
not since tom cruise in risky business has an actor made such a strong impression in his underwear .,3,2,18
or doing last year 's taxes with your ex-wife .,1,4,9
scooby dooby doo \/ and shaggy too \/ you both look and sound great .,3,1,14
"one of those energetic surprises , an original that pleases almost everyone who sees it .",4,3,14
"even in this less-than-magic kingdom , reese rules .",2,1,7
"not only unfunny , but downright repellent .",0,1,6
"for the most part , it 's a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",4,3,19
"comes off like a rejected abc afterschool special , freshened up by the dunce of a screenwriting 101 class .",0,1,18
this flick is about as cool and crowd-pleasing as a documentary can get .,4,1,13
"if there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .",0,1,29
"instead , he shows them the respect they are due .",4,2,9
"... plot holes so large and obvious a marching band might as well be stomping through them in clown clothes , playing a college football fight song on untuned instruments .",0,1,29
a quiet treasure -- a film to be savored .,4,3,9
"warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .",4,3,24
"it is the sheer , selfish , wound-licking , bar-scrapping doggedness of leon 's struggle to face and transmute his demons that makes the movie a spirited and touching occasion , despite its patchy construction .",2,3,31
a beautifully made piece of unwatchable drivel .,2,4,7
few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,4,3,26
"the lower your expectations , the more you 'll enjoy it .",1,3,10
this is it .,2,4,3
that 's pure pr hype .,1,4,5
it is great summer fun to watch arnold and his buddy gerald bounce off a quirky cast of characters .,3,4,19
one of the more intelligent children 's movies to hit theaters this year .,4,3,13
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .",4,3,16
it 's a beautiful madness .,3,4,5
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career .",0,4,31
harland williams is so funny in drag he should consider permanent sex-reassignment .,2,4,12
a giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of oscar-winners : susan sarandon and goldie hawn .,3,4,20
"the words , ` frankly , my dear , i do n't give a damn , ' have never been more appropriate .",0,1,16
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie .",1,2,31
his healthy sense of satire is light and fun ...,3,0,10
` a ' for creativity but comes across more as a sketch for a full-length comedy .,2,1,14
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .",3,1,28
part low rent godfather .,1,3,4
or emptying rat traps .,1,2,4
"it 's a trifle of a movie , with a few laughs surrounding an unremarkable soft center .",2,1,16
"offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .",3,4,22
"in execution , this clever idea is far less funny than the original , killers from space .",1,2,15
"walter hill 's pulpy , stylized boxing melodrama undisputed nearly overcomes its questionable in-the-ring match-up with solid fight choreography and gritty prison authenticity .",2,3,22
"full of witless jokes , dealing in broad stereotypes and outrageously unbelievable scenarios , and saddled with a general air of misogyny",2,1,20
"this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .",0,2,22
"it 's another stale , kill-by-numbers flick , complete with blade-thin characters and terrible , pun-laden dialogue .",1,0,14
"one of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",1,0,15
"nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative nine queens is lots of fun .",3,2,24
"drops you into a dizzying , volatile , pressure-cooker of a situation that quickly snowballs out of control , while focusing on the what much more than the why .",3,1,26
"a muckraking job , the cinematic equivalent of a legal indictment , and a fairly effective one at that .",2,3,17
"a delectable and intriguing thriller filled with surprises , read my lips is an original .",4,3,14
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored .",0,1,18
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so,1,3,24
jacquot 's rendering of puccini 's tale of devotion and double-cross is more than just a filmed opera .,2,3,18
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .,1,0,30
"uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .",4,3,21
i thought my own watch had stopped keeping time as i slogged my way through clockstoppers .,1,0,16
"-lrb- serry -rrb- wants to blend politics and drama , an admirable ambition .",3,1,12
"with tightly organized efficiency , numerous flashbacks and a constant edge of tension , miller 's film is one of 2002 's involvingly adult surprises .",3,4,23
"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even better .",3,1,20
"by candidly detailing the politics involved in the creation of an extraordinary piece of music , -lrb- jones -rrb- calls our attention to the inherent conflict between commerce and creativity .",3,4,29
"because of an unnecessary and clumsy last scene , ` swimfan ' left me with a very bad feeling .",1,0,16
"exciting and direct , with ghost imagery that shows just enough to keep us on our toes .",3,4,16
a superbly acted and funny\/gritty fable of the humanizing of one woman at the hands of the unseen forces of fate .,3,4,21
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast .,3,1,15
"in a way , the film feels like a breath of fresh air , but only to those that allow it in .",4,3,20
"green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .",0,2,22
the socio-histo-political treatise is told in earnest strides ... -lrb- and -rrb- personal illusion is deconstructed with poignancy .,3,4,18
a beguiling splash of pastel colors and prankish comedy from disney .,4,3,11
"based on a devilishly witty script by heather mcgowan and niels mueller , the film gets great laughs , but never at the expense of its characters",4,1,25
"the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .",3,4,25
this surreal gilliam-esque film is also a troubling interpretation of ecclesiastes .,3,4,11
you wonder why enough was n't just a music video rather than a full-length movie .,1,0,15
funny but perilously slight .,3,2,4
"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .",1,2,32
makes even the claustrophobic on-board quarters seem fun .,2,3,8
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",4,1,43
"while it regards 1967 as the key turning point of the 20th century , and returns again and again to images of dissidents in the streets , it 's alarmingly current .",2,4,29
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,3,2,27
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .",1,3,30
"in spite of good housekeeping 's unsavory characters and wwf mentality , this white trash war of the roses is a surprisingly engaging film .",2,3,23
more maudlin than sharp .,2,1,4
"outer-space buffs might love this film , but others will find its pleasures intermittent .",1,2,13
rarely has so much money delivered so little entertainment .,1,0,9
"van wilder does n't bring anything new to the proverbial table , but it does possess a coherence absent in recent crass-a-thons like tomcats , freddy got fingered , and slackers .",2,1,28
"so , too , is this comedy about mild culture clashing in today 's new delhi .",3,2,14
blanchett 's performance confirms her power once again .,4,2,8
this is nothing but familiar territory .,2,1,6
"this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .",4,3,31
"while the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .",4,2,17
the iditarod lasts for days - this just felt like it did .,0,2,11
"the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance .",3,0,28
"this movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work .",0,1,23
"sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the wwii-era mississippi delta undermine this adaptation .",0,3,20
a film about a young man finding god that is accessible and touching to the marrow .,3,4,16
"although the level of the comedy declines as the movie proceeds , there 's no denying the fun of watching de niro and crystal having fun .",2,1,25
it 's hard to imagine alan arkin being better than he is in this performance .,3,0,15
a romantic comedy enriched by a sharp eye for manners and mores .,4,3,12
a touch of humor or an unexpected plot twist always pulls it back .,2,4,13
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .,0,1,22
"although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .",2,3,21
"hoffman notches in the nuances of pain , but his smart , edgy voice and waddling profile -lrb- emphasized here -rrb- accent the humor of wilson 's plight , and that saves his pathos from drippiness .",2,3,33
too much of it feels unfocused and underdeveloped .,0,1,8
`` roger michell -lrb- '' notting hill `` -rrb- directs a morality thriller . '',2,1,14
"unfortunately , it 's not silly fun unless you enjoy really bad movies .",0,1,12
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",0,2,18
cq 's reflection of artists and the love of cinema-and-self suggests nothing less than a new voice that deserves to be considered as a possible successor to the best european directors .,3,4,31
jones ... does offer a brutal form of charisma .,3,4,9
not an objectionable or dull film ; it merely lacks everything except good intentions .,0,1,13
"it 's mighty tedious for the viewer who has to contend with unpleasant characters , hit-and-miss performances and awkwardly staged scenes .",2,0,20
"the lion king was a roaring success when it was released eight years ago , but on imax it seems better , not just bigger .",3,1,23
"kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",3,4,17
"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ?",1,2,20
"wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .",0,1,19
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,1,0,43
"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all .",3,1,20
it 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,3,4,24
no screen fantasy-adventure in recent memory has the showmanship of clones ' last 45 minutes .,4,0,14
"building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .",3,4,26
it 's hard to know whether or not to recommend this film because for every thing it does right there 's at least one and occasionally two things it gets ever so wrong .,2,1,33
this movie seems to have been written using mad-libs .,1,0,9
"thanks to haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act .",3,4,26
beneath clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from rabbit-proof fence .,2,3,21
a movie that hovers somewhere between an acute character study and a trite power struggle .,2,3,15
there has always been something likable about the marquis de sade .,3,0,11
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .",0,1,30
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters .",1,3,29
i can take infantile humor ... but this is the sort of infantile that makes you wonder about changing the director and writer 's diapers .,1,0,25
a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered .,3,1,19
so refreshingly incisive is grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor .,3,2,31
"with the exception of some fleetingly amusing improvisations by cedric the entertainer as perry 's boss , there is n't a redeeming moment here .",0,1,23
"the vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination .",3,1,19
"martin and barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by sven wollter and viveka seldahl make their hopes and frustrations vivid .",4,3,28
"all that 's missing is the spontaneity , originality and delight .",1,4,10
"it has the ability to offend and put off everyone , but it holds you with its outrageousness .",2,3,17
it confirms fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight .,4,2,20
"this is as respectful a film as byatt fans could hope for , though lovers of the book may wonder why it 's necessary .",2,3,23
if this story must be told and retold -- and indeed it must -- then the grey zone is to be lauded for finding a new and ingenious angle .,2,4,29
"good film , but very glum .",3,2,5
"nine queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .",4,2,30
"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while .",0,3,20
the plot convolutions ultimately add up to nothing more than jerking the audience 's chain .,0,1,15
-lrb- d -rrb- oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful .,3,2,31
it 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity .,2,4,28
they takes a long time to get to its gasp-inducing ending .,2,1,11
"a morose little soap opera about three vapid , insensitive people who take turns hurting each other .",2,1,16
this nickleby thing might have more homosexual undertones than an eddie murphy film .,1,0,13
a marvel like none you 've seen .,3,1,7
the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects .,0,4,30
manages to be sweet and wickedly satisfying at the same time .,4,3,11
"determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult .",1,4,17
"the last 20 minutes are somewhat redeeming , but most of the movie is the same teenage american road-trip drek we 've seen before - only this time you have to read the fart jokes",1,2,33
